"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025",65+,female,496,1047,126,1,172,THB,0.22563492,28.43,16.42788921,28.43,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025",35-44,male,536,1259,132,2,155,THB,0.20977273,13.845,12.31135822,27.69,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",35-44,male,496,1280,144,,172,THB,0.19191949,,13.4375,27.63640727,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",35-44,male,196,485,20,,24,THB,1.37152003,,4.94845361,27.43040052,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025",55-64,male,248,498,36,,46,THB,0.73145472,,9.23694779,26.33236991,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025",55-64,male,176,313,29,1,39,THB,0.81598039,23.6634312,12.4600639,23.6634312,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",45-54,male,688,1264,143,2,170,THB,0.16439491,11.75423597,13.44936709,23.50847195,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025",45-54,male,480,682,55,,73,THB,0.41947272,,10.70381232,23.07099974,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",45-54,female,204,295,62,2,77,THB,0.36129032,11.2,26.10169492,22.4,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",25-34,male,560,1093,97,,124,THB,0.22533153,,11.34492223,21.85715857,2025-05-01,2025-05-31
