"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",25-34,unknown,8,22,,,0,THB,,,0,0.79000508,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",35-44,unknown,20,25,1,,1,THB,0.77008857,,4,0.77008857,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",35-44,unknown,8,11,,,0,THB,,,0,0.71,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Interest]",45-54,unknown,14,20,,,0,THB,,,0,0.64,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",65+,male,18,27,1,,1,THB,0.63007247,,3.7037037,0.63007247,2025-10-01,2025-10-31
"3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Interest]",35-44,unknown,9,10,,,0,THB,,,0,0.62,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25 [Interest]",65+,male,14,28,1,,2,THB,0.61009619,,7.14285714,0.61009619,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Retargeting]",25-34,unknown,6,17,1,,1,THB,0.55002214,,5.88235294,0.55002214,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25 [Interest]",25-34,unknown,10,20,,,0,THB,,,0,0.54008515,2025-10-01,2025-10-31
"3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Interest]",65+,male,10,28,3,1,4,THB,0.18,0.54,14.28571429,0.54,2025-10-01,2025-10-31
