"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68",55-64,female,1053,2399,298,2,373,THB,0.22696493,33.81777451,15.54814506,67.63554903,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",55-64,female,195,448,63,1,93,THB,0.96204291,60.60870329,20.75892857,60.60870329,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep","3020 | DIA | Engage | Grand Sale up to 70% off | 25-30 Sep [Retargeting]",65+,female,866,1423,119,,134,THB,0.50624064,,9.41672523,60.24263641,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",35-44,male,170,465,28,,43,THB,2.14782779,,9.24731183,60.13917815,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68",45-54,male,73,185,35,2,35,THB,1.65466305,28.95660338,18.91891892,57.91320677,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68",25-34,male,313,1000,68,4,100,THB,0.83065962,14.12121353,10,56.48485413,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",45-54,male,72,244,11,1,14,THB,5.02511639,55.27628034,5.73770492,55.27628034,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",65+,female,631,1275,168,,192,THB,0.32190775,,15.05882353,54.08050206,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68",35-44,male,331,874,49,1,47,THB,1.07680309,52.76335117,5.37757437,52.76335117,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",35-44,male,687,1439,152,,155,THB,0.34686184,,10.77136901,52.72299961,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Interest]",55-64,female,183,385,37,,48,THB,1.39678515,,12.46753247,51.68105053,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",35-44,male,604,1248,121,1,134,THB,0.4178362,50.55818028,10.73717949,50.55818028,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68 [Interest]",45-54,female,1021,1073,724,,26,THB,0.068978,,2.42311277,49.94007165,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",25-34,male,669,1409,128,,144,THB,0.37945812,,10.22001419,48.57063917,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68 [Interest]",25-34,female,1573,2015,183,1,235,THB,0.26316852,48.15983852,11.66253102,48.15983852,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",45-54,male,45,121,12,,14,THB,3.68543939,,11.57024793,44.2252727,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68",35-44,male,583,1327,169,,191,THB,0.26133183,,14.3933685,44.16507898,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep","3020 | DIA | Engage | Grand Sale up to 70% off | 25-30 Sep [Retargeting]",45-54,male,486,876,76,,77,THB,0.56183849,,8.78995434,42.69972523,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68",45-54,male,92,244,26,2,27,THB,1.63741169,21.28635197,11.06557377,42.57270393,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Interest]",55-64,female,847,1149,130,,155,THB,0.32461538,,13.4899913,42.2,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Engage | Everyday Pearls sale up to 50% off | 1-30 Sep 68",18-24,female,921,1638,194,,276,THB,0.21508458,,16.84981685,41.72640755,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Interest]",25-34,female,1223,1592,145,,181,THB,0.28675862,,11.36934673,41.58,2025-09-01,2025-09-30
