"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",65+,male,272,642,24,,31,THB,0.77333333,,4.82866044,18.56,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",55-64,male,18,43,5,,9,THB,3.13,,20.93023256,15.65,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,male,96,186,10,,17,THB,1.55573638,,9.13978495,15.55736382,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",65+,female,384,564,39,,58,THB,0.36547781,,10.28368794,14.25363451,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,male,70,191,11,,20,THB,1.18363636,,10.47120419,13.02,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",55-64,male,144,381,43,,57,THB,0.27541907,,14.96062992,11.84301983,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",55-64,male,192,262,16,,19,THB,0.605,,7.2519084,9.68,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",45-54,unknown,0,56,4,,6,THB,2.33798765,,10.71428571,9.35195059,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",25-34,unknown,160,286,29,,35,THB,0.25799682,,12.23776224,7.4819078,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",55-64,male,128,328,25,,35,THB,0.29409705,,10.67073171,7.3524263,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,unknown,20,26,4,1,5,THB,1.81085714,7.24342856,19.23076923,7.24342856,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",65+,male,68,105,8,,7,THB,0.89,,6.66666667,7.12,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",25-34,unknown,16,127,16,,18,THB,0.41875,,14.17322835,6.7,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",65+,male,48,107,8,,17,THB,0.82767263,,15.88785047,6.62138106,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,unknown,20,58,5,,8,THB,1.31062036,,13.79310345,6.5531018,2025-07-01,2025-07-31
