"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",55-64,male,44,94,4,,5,THB,3.11260235,,5.31914894,12.45040942,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",65+,male,224,355,25,,34,THB,0.4800192,,9.57746479,12.00048003,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",55-64,male,144,451,40,,64,THB,0.29776787,,14.19068736,11.91071476,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",18-24,male,272,501,39,,52,THB,0.28770382,,10.37924152,11.22044883,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",65+,male,200,265,19,1,25,THB,0.52159112,9.91023126,9.43396226,9.91023126,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",18-24,male,256,345,27,,46,THB,0.30150259,,13.33333333,8.14056987,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",25-34,unknown,160,237,24,,38,THB,0.24417155,,16.03375527,5.8601172,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",18-24,male,269,269,15,,23,THB,0.38268963,,8.55018587,5.74034448,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",65+,male,144,194,23,,32,THB,0.24436249,,16.49484536,5.62033727,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",25-34,unknown,24,113,9,,12,THB,0.60890891,,10.61946903,5.48018021,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",65+,male,28,94,6,,9,THB,0.8850291,,9.57446809,5.31017462,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",18-24,male,128,209,13,2,18,THB,0.39385534,2.56005974,8.61244019,5.12011948,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",65+,male,32,48,4,1,4,THB,1.2325,4.93,8.33333333,4.93,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",55-64,male,112,202,20,,22,THB,0.24200484,,10.89108911,4.8400968,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",45-54,unknown,4,34,2,,2,THB,2.135,,5.88235294,4.27,2025-06-01,2025-06-30
