"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",45-54,unknown,24,35,2,,3,THB,0.6199969,,8.57142857,1.2399938,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",45-54,unknown,24,25,4,,5,THB,0.25749614,,20,1.02998455,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",45-54,unknown,29,29,5,,4,THB,0.19600392,,13.79310345,0.9800196,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",65+,unknown,0,11,4,,7,THB,0.21250425,,63.63636364,0.850017,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",45-54,unknown,0,7,,,0,THB,,,0,0.85,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",25-34,unknown,40,50,3,,4,THB,0.28,,8,0.84,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",45-54,unknown,32,33,3,,4,THB,0.250005,,12.12121212,0.750015,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",25-34,unknown,4,15,,,0,THB,,,0,0.72,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",55-64,unknown,8,11,3,,3,THB,0.200004,,27.27272727,0.600012,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025",55-64,unknown,0,3,,,0,THB,,,0,0.41001505,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",55-64,unknown,8,19,1,,1,THB,0.41,,5.26315789,0.41,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",45-54,unknown,12,12,1,,2,THB,0.34000227,,16.66666667,0.34000227,2025-04-01,2025-04-30
